id,event,day,instance,enrollmentgroup,completed,date,time,time_participant,time_interval,positive_score,negative_score,positive_SD,negative_SD,positive_mean,negative_mean
12038,1,1,1,1,0,,,,,,,19,17,17.66666667,17.33333333
12038,2,5,6,1,1,2/21/2022,6:29:38 AM,7:29:38 AM,,16,11,5,0,19.75,14.25
12038,2,6,11,1,1,2/22/2022,7:29:36 AM,8:29:36 AM,8:29:36,17,12,17,12,18.2,14
12038,3,7,1,1,1,3/20/2022,7:48:27 AM,8:48:27 AM,,19,11,4,0,26.2,14.4
12038,3,9,11,1,1,3/22/2022,7:57:18 AM,8:57:18 AM,,29,13,9,1,26.8,17.6
12038,1,3,11,1,1,1/11/2022,7:04:06 AM,8:04:06 AM,,25,15,13,2,25.2,13.2
12038,3,8,6,1,1,3/21/2022,7:10:47 AM,8:10:47 AM,,30,13,8,2,27.4,16.4
12039,1,2,6,1,1,1/7/2022,7:42:04 AM,7:42:04 AM,,10,34,2,23,13,19
12039,1,1,1,1,1,1/6/2022,1:32:50 PM,1:32:50 PM,,16,21,3,10,15.2,19
12039,2,6,11,1,1,2/12/2022,8:41:41 AM,8:41:41 AM,,10,39,2,9,13,18.75
12039,2,4,1,1,1,2/10/2022,8:32:00 AM,8:32:00 AM,8:32:00,20,14,20,14,21.4,17.2
12039,1,3,11,1,1,1/8/2022,9:45:45 AM,9:45:45 AM,,10,43,2,28,18.8,21.2
12039,2,5,6,1,1,2/11/2022,8:44:04 AM,8:44:04 AM,,22,15,4,1,21.2,15.6
12039,3,8,6,1,1,3/18/2022,8:02:08 AM,8:02:08 AM,,30,20,20,5,31.8,19.6
12039,3,7,1,1,1,3/17/2022,11:38:35 AM,11:38:35 AM,,25,29,5,6,29.2,17.8
12039,3,9,11,1,1,3/19/2022,8:28:33 AM,8:28:33 AM,8:28:33,32,21,32,21,27.6,14.2
12040,2,4,1,0,0,,,,,,,18,13,15.66666667,18
12040,2,6,11,0,1,2/15/2022,6:20:26 AM,7:20:26 AM,,14,16,4,6,18.4,15.4
12040,3,7,1,0,1,3/13/2022,7:02:26 AM,8:02:26 AM,8:02:26,25,14,25,14,28,16.2
12040,1,3,11,0,1,1/11/2022,6:48:40 AM,7:48:40 AM,,29,23,2,3,30.4,21.8
12040,2,5,6,0,1,2/14/2022,7:38:15 AM,8:38:15 AM,,26,18,6,3,28.25,16.75
12040,3,8,6,0,1,3/14/2022,7:41:56 AM,8:41:56 AM,,28,14,3,4,28.5,17
12040,3,9,11,0,1,3/15/2022,7:20:53 AM,8:20:53 AM,,32,17,2,1,28.2,16
