id,event,time,panaspmq1,panaspmq2,panaspmq3,panaspmq4,panaspmq5,panaspmq6,panaspmq7,panaspmq8,panaspmq9,panaspmq10,panaspmq11,panaspmq12,panaspmq13,panaspmq14,panaspmq15,panaspmq16,panaspmq17,panaspmq18,panaspmq19,panaspmq20,panas_start_pos,panas_start_neg
12024,8,0,4,1,3,1,4,1,1,1,2,3,1,1,1,4,1,3,3,2,3,1,30,11
12026,1,0,4,1,4,1,3,1,2,1,3,2,1,4,1,3,5,4,4,2,3,2,34,17
12026,2,0,4,2,3,2,2,2,1,3,3,2,2,4,1,3,2,3,4,2,3,1,31,18
12026,3,0,4,3,2,1,2,1,1,1,2,2,2,3,2,2,2,3,3,3,2,1,25,17
12026,4,0,4,1,4,1,2,1,1,1,4,2,1,4,1,4,2,4,4,2,3,1,35,12
12026,5,0,2,2,2,1,1,1,1,1,2,1,1,3,1,2,1,2,3,1,2,1,20,11
12026,6,0,4,1,3,1,1,1,1,1,3,1,1,4,1,3,2,3,4,2,3,1,29,12
12026,7,0,3,3,2,2,1,1,1,1,2,1,3,4,1,2,2,3,4,1,2,1,24,16
12026,8,0,2,3,2,1,1,1,1,1,2,1,2,3,3,2,4,4,3,2,2,1,22,19
12031,1,0,4,2,3,1,2,1,2,1,3,2,2,4,1,3,4,4,4,3,1,1,30,18
12031,2,0,4,1,4,2,1,1,1,1,4,1,2,4,1,2,3,1,3,2,1,1,25,15
12031,3,0,4,1,3,1,2,1,1,1,3,2,1,4,1,3,2,3,4,2,1,1,29,12
12031,4,0,3,1,3,1,1,1,1,1,3,2,1,4,1,3,3,3,4,2,1,1,27,13
12031,5,0,3,1,2,1,1,1,1,1,3,3,1,4,1,3,2,3,4,1,2,1,28,11
12031,6,0,3,2,3,1,1,1,1,1,2,1,2,4,1,2,1,3,3,2,2,1,24,13
12031,7,0,3,1,2,1,1,1,1,1,2,2,1,4,1,2,1,2,3,2,2,1,23,11
12031,8,0,3,1,2,1,3,1,1,1,2,3,1,4,1,3,1,3,4,1,2,1,29,10
12032,1,0,2,1,3,2,4,1,1,1,3,4,3,3,1,2,3,4,4,1,2,1,31,15
12032,2,0,3,3,2,3,4,2,2,1,3,4,3,4,2,1,2,3,4,1,3,2,31,21
12032,3,0,3,2,3,1,3,1,1,1,3,3,2,3,1,3,2,2,2,1,1,1,26,13
12032,4,0,3,2,3,1,2,1,1,1,2,2,1,2,1,2,1,2,2,1,2,1,22,11
12032,5,0,2,1,1,2,3,2,2,1,2,3,1,2,1,1,1,1,2,2,2,2,19,15
12033,1,0,4,2,4,1,3,2,2,2,4,3,2,3,2,3,3,3,3,1,2,1,32,18
12033,2,0,5,2,4,2,3,2,2,1,5,3,1,3,2,5,4,4,3,3,2,3,37,22
12033,3,0,5,3,4,2,3,3,2,1,5,3,1,4,2,4,3,4,3,1,3,1,38,19
